"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","alb",1981-07-16,17879,NaN,NaN
"NWT","alb",1981-07-17,18562,NaN,NaN
"NWT","alb",1981-07-18,16279,NaN,NaN
"NWT","alb",1981-07-19,14861,NaN,NaN
"NWT","alb",1981-07-20,14561,NaN,NaN
"NWT","alb",1981-07-21,12796,NaN,NaN
"NWT","alb",1981-07-22,12686,NaN,NaN
"NWT","alb",1981-07-23,12629,NaN,NaN
"NWT","alb",1981-07-24,11763,NaN,NaN
"NWT","alb",1981-07-25,10826,NaN,NaN
"NWT","alb",1981-07-26,12720,NaN,NaN
"NWT","alb",1981-07-27,12437,NaN,NaN
"NWT","alb",1981-07-28,9472,NaN,NaN
"NWT","alb",1981-07-29,9619,NaN,NaN
"NWT","alb",1981-07-30,9449,NaN,NaN
"NWT","alb",1981-07-31,11123,NaN,NaN
"NWT","alb",1981-08-01,9546,NaN,NaN
"NWT","alb",1981-08-02,9285,NaN,NaN
"NWT","alb",1981-08-03,10013,NaN,NaN
"NWT","alb",1981-08-04,9472,NaN,NaN
"NWT","alb",1981-08-05,9721,NaN,NaN
"NWT","alb",1981-08-06,9968,NaN,NaN
"NWT","alb",1981-08-07,10217,NaN,NaN
"NWT","alb",1981-08-08,10463,NaN,NaN
"NWT","alb",1981-08-09,10712,NaN,NaN
"NWT","alb",1981-08-10,10959,NaN,NaN
"NWT","alb",1981-08-11,11208,NaN,NaN
"NWT","alb",1981-08-12,11454,NaN,NaN
"NWT","alb",1981-08-13,11703,NaN,NaN
"NWT","alb",1981-08-14,7538,NaN,NaN
"NWT","alb",1981-08-15,8804,NaN,NaN
"NWT","alb",1981-08-16,16591,NaN,NaN
"NWT","alb",1981-08-17,13578,NaN,NaN
"NWT","alb",1981-08-18,11882,NaN,NaN
"NWT","alb",1981-08-19,11242,NaN,NaN
"NWT","alb",1981-08-20,10511,NaN,NaN
"NWT","alb",1981-08-21,11859,NaN,NaN
"NWT","alb",1981-08-22,10661,NaN,NaN
"NWT","alb",1981-08-23,9141,NaN,NaN
"NWT","alb",1981-08-24,9786,NaN,NaN
"NWT","alb",1981-08-25,8668,NaN,NaN
"NWT","alb",1981-08-26,9866,NaN,NaN
"NWT","alb",1981-08-27,10004,NaN,NaN
"NWT","alb",1981-08-28,10123,NaN,NaN
"NWT","alb",1981-08-29,10752,NaN,NaN
"NWT","alb",1981-08-30,10622,NaN,NaN
"NWT","alb",1981-08-31,8478,NaN,NaN
"NWT","alb",1981-09-01,10894,NaN,NaN
"NWT","alb",1981-09-02,11273,NaN,NaN
"NWT","alb",1981-09-03,11126,NaN,NaN
"NWT","alb",1981-09-04,10979,NaN,NaN
"NWT","alb",1981-09-05,10831,NaN,NaN
"NWT","alb",1981-09-06,10687,NaN,NaN
"NWT","alb",1981-09-07,10540,NaN,NaN
"NWT","alb",1981-09-08,10392,NaN,NaN
"NWT","alb",1981-09-09,10245,NaN,NaN
"NWT","alb",1981-09-10,10098,NaN,NaN
"NWT","alb",1981-09-11,9951,NaN,NaN
"NWT","alb",1981-09-12,9803,NaN,NaN
"NWT","alb",1981-09-13,9656,NaN,NaN
"NWT","alb",1981-09-14,9509,NaN,NaN
"NWT","alb",1981-09-15,9364,NaN,NaN
"NWT","alb",1981-09-16,9217,NaN,NaN
"NWT","alb",1981-09-17,9070,NaN,NaN
"NWT","alb",1981-09-18,8923,NaN,NaN
"NWT","alb",1981-09-19,8657,NaN,NaN
"NWT","alb",1981-09-20,7583,NaN,NaN
"NWT","alb",1981-09-21,8082,NaN,NaN
"NWT","alb",1981-09-22,9472,NaN,NaN
"NWT","alb",1981-09-23,6465,NaN,NaN
"NWT","alb",1981-09-24,8249,NaN,NaN
"NWT","alb",1981-09-25,15875,NaN,NaN
"NWT","alb",1981-09-26,5564,NaN,NaN
"NWT","alb",1981-09-27,2922,NaN,NaN
"NWT","alb",1981-09-28,6244,NaN,NaN
"NWT","alb",1981-09-29,5140,NaN,NaN
"NWT","alb",1981-09-30,8441,NaN,NaN
"NWT","alb",1981-10-01,4749,NaN,NaN
"NWT","alb",1981-10-02,NaN,NaN,NaN
"NWT","alb",1981-10-03,NaN,NaN,NaN
"NWT","alb",1981-10-04,NaN,NaN,NaN
"NWT","alb",1981-10-05,NaN,NaN,NaN
"NWT","alb",1981-10-06,NaN,NaN,NaN
"NWT","alb",1981-10-07,NaN,NaN,NaN
"NWT","alb",1981-10-08,NaN,NaN,NaN
"NWT","alb",1981-10-09,NaN,NaN,NaN
"NWT","alb",1981-10-10,NaN,NaN,NaN
"NWT","alb",1981-10-11,NaN,NaN,NaN
"NWT","alb",1981-10-12,NaN,NaN,NaN
"NWT","alb",1981-10-13,NaN,NaN,NaN
"NWT","alb",1981-10-14,NaN,NaN,NaN
"NWT","alb",1981-10-15,NaN,NaN,NaN
"NWT","alb",1981-10-16,NaN,NaN,NaN
"NWT","alb",1981-10-17,NaN,NaN,NaN
"NWT","alb",1981-10-18,NaN,NaN,NaN
"NWT","alb",1981-10-19,NaN,NaN,NaN
"NWT","alb",1981-10-20,NaN,NaN,NaN
"NWT","alb",1981-10-21,NaN,NaN,NaN
"NWT","alb",1981-10-22,NaN,NaN,NaN
"NWT","alb",1981-10-23,NaN,NaN,NaN
"NWT","alb",1981-10-24,NaN,NaN,NaN
"NWT","alb",1981-10-25,NaN,NaN,NaN
"NWT","alb",1981-10-26,NaN,NaN,NaN
"NWT","alb",1981-10-27,NaN,NaN,NaN
"NWT","alb",1981-10-28,NaN,NaN,NaN
"NWT","alb",1981-10-29,NaN,NaN,NaN
"NWT","alb",1981-10-30,NaN,NaN,NaN
"NWT","alb",1981-10-31,NaN,NaN,NaN
"NWT","alb",1981-11-01,NaN,NaN,NaN
"NWT","alb",1981-11-02,NaN,NaN,NaN
"NWT","alb",1981-11-03,NaN,NaN,NaN
"NWT","alb",1981-11-04,NaN,NaN,NaN
"NWT","alb",1981-11-05,NaN,NaN,NaN
"NWT","alb",1981-11-06,NaN,NaN,NaN
"NWT","alb",1981-11-07,NaN,NaN,NaN
"NWT","alb",1981-11-08,NaN,NaN,NaN
"NWT","alb",1981-11-09,NaN,NaN,NaN
"NWT","alb",1981-11-10,NaN,NaN,NaN
"NWT","alb",1981-11-11,NaN,NaN,NaN
"NWT","alb",1981-11-12,NaN,NaN,NaN
"NWT","alb",1981-11-13,NaN,NaN,NaN
"NWT","alb",1981-11-14,NaN,NaN,NaN
"NWT","alb",1981-11-15,NaN,NaN,NaN
"NWT","alb",1981-11-16,NaN,NaN,NaN
"NWT","alb",1981-11-17,NaN,NaN,NaN
"NWT","alb",1981-11-18,NaN,NaN,NaN
"NWT","alb",1981-11-19,NaN,NaN,NaN
"NWT","alb",1981-11-20,NaN,NaN,NaN
"NWT","alb",1981-11-21,NaN,NaN,NaN
"NWT","alb",1981-11-22,NaN,NaN,NaN
"NWT","alb",1981-11-23,NaN,NaN,NaN
"NWT","alb",1981-11-24,NaN,NaN,NaN
"NWT","alb",1981-11-25,NaN,NaN,NaN
"NWT","alb",1981-11-26,NaN,NaN,NaN
"NWT","alb",1981-11-27,NaN,NaN,NaN
