"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","sdl",1999-04-29,435,NaN,NaN
"NWT","sdl",1999-04-30,123,NaN,NaN
"NWT","sdl",1999-05-01,86,NaN,NaN
"NWT","sdl",1999-05-02,73,NaN,NaN
"NWT","sdl",1999-05-03,421,NaN,NaN
"NWT","sdl",1999-05-04,286,NaN,NaN
"NWT","sdl",1999-05-05,121,NaN,NaN
"NWT","sdl",1999-05-06,0,NaN,NaN
"NWT","sdl",1999-05-07,0,NaN,NaN
"NWT","sdl",1999-05-08,0,NaN,NaN
"NWT","sdl",1999-05-09,0,NaN,NaN
"NWT","sdl",1999-05-10,0,NaN,NaN
"NWT","sdl",1999-05-11,17,NaN,NaN
"NWT","sdl",1999-05-12,25,NaN,NaN
"NWT","sdl",1999-05-13,26,NaN,NaN
"NWT","sdl",1999-05-14,16,NaN,NaN
"NWT","sdl",1999-05-15,5,NaN,NaN
"NWT","sdl",1999-05-16,0,NaN,NaN
"NWT","sdl",1999-05-17,1,NaN,NaN
"NWT","sdl",1999-05-18,3,NaN,NaN
"NWT","sdl",1999-05-19,367,NaN,NaN
"NWT","sdl",1999-05-20,0,NaN,NaN
"NWT","sdl",1999-05-21,190,NaN,NaN
"NWT","sdl",1999-05-22,372,NaN,NaN
"NWT","sdl",1999-05-23,615,NaN,NaN
"NWT","sdl",1999-05-24,98,NaN,NaN
"NWT","sdl",1999-05-25,188,NaN,NaN
"NWT","sdl",1999-05-26,177,NaN,NaN
"NWT","sdl",1999-05-27,199,NaN,NaN
"NWT","sdl",1999-05-28,909,NaN,NaN
"NWT","sdl",1999-05-29,1603,NaN,NaN
"NWT","sdl",1999-05-30,1430,NaN,NaN
"NWT","sdl",1999-05-31,670,NaN,NaN
"NWT","sdl",1999-06-01,379,NaN,NaN
"NWT","sdl",1999-06-02,519,NaN,NaN
"NWT","sdl",1999-06-03,512,NaN,NaN
"NWT","sdl",1999-06-04,515,NaN,NaN
"NWT","sdl",1999-06-05,327,NaN,NaN
