Title:,"Time Series, Area-Averaged of Snow depth monthly 0.125 deg. [NLDAS Model NLDAS_NOAH0125_M v2.0] (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-122.265,44.201,-122.095,44.284"
Data Bounding Box:,"-122.188,44.1875,-122.188,44.1875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-122.265,44.201,-122.095,44.284&data=M2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (NLDAS_NOAH0125_M_2_0_SnowDepth):, -9999

time, NLDAS_NOAH0125_M_2_0_SnowDepth
1980-02-01 00:00:00,0.00917083025
1980-03-01 00:00:00,0.00033908058
1980-04-01 00:00:00,0.00242553768
1980-05-01 00:00:00,7.33333436e-05
1980-06-01 00:00:00,1.3172039e-05
1980-07-01 00:00:00,5.83333303e-06
1980-08-01 00:00:00,0
1980-09-01 00:00:00,2.01612897e-06
1980-10-01 00:00:00,1.94444397e-06
1980-11-01 00:00:00,2.28494605e-06
1980-12-01 00:00:00,0.000384583545
1981-01-01 00:00:00,0.0197883211
1981-02-01 00:00:00,0.000359139667
1981-03-01 00:00:00,0.00072172517
1981-04-01 00:00:00,0.000119489305
1981-05-01 00:00:00,0.000100138896
1981-06-01 00:00:00,3.05107442e-05
1981-07-01 00:00:00,5.83333303e-06
1981-08-01 00:00:00,0
1981-09-01 00:00:00,0
1981-10-01 00:00:00,4.16666626e-06
1981-11-01 00:00:00,8.87096667e-06
1981-12-01 00:00:00,0.000704999955
1982-01-01 00:00:00,0.00956962351
1982-02-01 00:00:00,0.138929397
1982-03-01 00:00:00,0.00549553428
1982-04-01 00:00:00,0.000646371103
1982-05-01 00:00:00,0.00141486025
