Title:,"Time Series, Area-Averaged of Surface air temperature monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-122.265,44.201,-122.095,44.284"
Data Bounding Box:,"-121.875,44,-121.875,44"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-122.265,44.201,-122.095,44.284&data=M2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (M2IMNXLFO_5_12_4_TLML):, 1000000000000000

time, M2IMNXLFO_5_12_4_TLML
1980-01-01 00:00:00,-1.90277708
1980-02-01 00:00:00,1.8697449
1980-03-01 00:00:00,-0.508123755
1980-04-01 00:00:00,4.33919668
1980-05-01 00:00:00,5.97078848
1980-06-01 00:00:00,7.39367056
1980-07-01 00:00:00,14.1221561
1980-08-01 00:00:00,11.9098148
1980-09-01 00:00:00,11.6537418
1980-10-01 00:00:00,8.76415443
1980-11-01 00:00:00,2.98296499
1980-12-01 00:00:00,2.97313833
1981-01-01 00:00:00,2.23937368
1981-02-01 00:00:00,1.12899172
1981-03-01 00:00:00,1.78682864
1981-04-01 00:00:00,3.35372305
1981-05-01 00:00:00,5.56710196
1981-06-01 00:00:00,8.75118446
1981-07-01 00:00:00,12.7105961
1981-08-01 00:00:00,16.3951969
1981-09-01 00:00:00,12.1632023
1981-10-01 00:00:00,6.33663321
1981-11-01 00:00:00,2.74642324
1981-12-01 00:00:00,-0.538824439
1982-01-01 00:00:00,-2.72922373
1982-02-01 00:00:00,-2.24426889
1982-03-01 00:00:00,0.260552973
1982-04-01 00:00:00,1.33327639
1982-05-01 00:00:00,6.22673941
1982-06-01 00:00:00,11.1402531
1982-07-01 00:00:00,13.102808
