Title:,"Time Series, Area-Averaged of total precipitation on days > 1 mm monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-122.265,44.201,-122.095,44.284"
Data Bounding Box:,"-121.875,44,-121.875,44"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-122.265,44.201,-122.095,44.284&data=M2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_M2SMNXEDI_1_PRCPTOT):, -9999

time, mean_M2SMNXEDI_1_PRCPTOT
1980-01-01 00:00:00,289.687531
1980-02-01 00:00:00,148.345963
1980-03-01 00:00:00,175.316238
1980-04-01 00:00:00,146.54129
1980-05-01 00:00:00,113.449699
1980-06-01 00:00:00,137.54512
1980-07-01 00:00:00,17.0764503
1980-08-01 00:00:00,9.09442425
1980-09-01 00:00:00,26.9072495
1980-10-01 00:00:00,61.4903793
1980-11-01 00:00:00,159.067642
1980-12-01 00:00:00,204.570465
1981-01-01 00:00:00,73.9908066
1981-02-01 00:00:00,141.413574
1981-03-01 00:00:00,143.463013
1981-04-01 00:00:00,132.182327
1981-05-01 00:00:00,126.700211
1981-06-01 00:00:00,87.2671509
1981-07-01 00:00:00,17.4228096
1981-08-01 00:00:00,0
1981-09-01 00:00:00,102.200569
1981-10-01 00:00:00,134.200806
1981-11-01 00:00:00,170.462128
1981-12-01 00:00:00,444.156616
1982-01-01 00:00:00,246.317276
1982-02-01 00:00:00,195.402679
1982-03-01 00:00:00,183.878738
1982-04-01 00:00:00,159.395447
1982-05-01 00:00:00,52.9123039
1982-06-01 00:00:00,224.067062
1982-07-01 00:00:00,66.1476746
1982-08-01 00:00:00,27.7763996
