Title:,"Time Series, Area-Averaged of Surface air temperature monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6762,40.2772,-105.6345,40.3008"
Data Bounding Box:,"-105.625,40.5,-105.625,40.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6762,40.2772,-105.6345,40.3008&data=M2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (M2IMNXLFO_5_12_4_TLML):, 1000000000000000

time, M2IMNXLFO_5_12_4_TLML
1980-01-01 00:00:00,-7.75656748
1980-02-01 00:00:00,-5.66348886
1980-03-01 00:00:00,-5.59876108
1980-04-01 00:00:00,-0.485205084
1980-05-01 00:00:00,5.22701406
1980-06-01 00:00:00,14.4697819
1980-07-01 00:00:00,17.914362
1980-08-01 00:00:00,15.3753605
1980-09-01 00:00:00,11.4302311
1980-10-01 00:00:00,4.27120352
1980-11-01 00:00:00,-1.21860349
1980-12-01 00:00:00,-1.2059387
1981-01-01 00:00:00,-2.9491334
1981-02-01 00:00:00,-5.03702402
1981-03-01 00:00:00,-2.85593271
1981-04-01 00:00:00,4.69017935
1981-05-01 00:00:00,5.22130728
1981-06-01 00:00:00,13.8754215
1981-07-01 00:00:00,16.4218693
1981-08-01 00:00:00,14.4953861
1981-09-01 00:00:00,11.9538822
1981-10-01 00:00:00,3.07244253
1981-11-01 00:00:00,-0.0476135239
1981-12-01 00:00:00,-5.83374643
1982-01-01 00:00:00,-9.06677818
1982-02-01 00:00:00,-8.28668785
1982-03-01 00:00:00,-3.90662241
1982-04-01 00:00:00,-0.343634039
1982-05-01 00:00:00,5.08287954
