Title:,"Time Series, Area-Averaged of total precipitation on days > 1 mm monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6762,40.2772,-105.6345,40.3008"
Data Bounding Box:,"-105.625,40.5,-105.625,40.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6762,40.2772,-105.6345,40.3008&data=M2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_M2SMNXEDI_1_PRCPTOT):, -9999

time, mean_M2SMNXEDI_1_PRCPTOT
1980-01-01 00:00:00,104.181519
1980-02-01 00:00:00,86.8929825
1980-03-01 00:00:00,94.7626572
1980-04-01 00:00:00,103.829399
1980-05-01 00:00:00,161.89006
1980-06-01 00:00:00,11.8513393
1980-07-01 00:00:00,80.7527466
1980-08-01 00:00:00,59.0602646
1980-09-01 00:00:00,87.2747421
1980-10-01 00:00:00,35.3324509
1980-11-01 00:00:00,25.7415352
1980-12-01 00:00:00,14.7982063
1981-01-01 00:00:00,11.2141647
1981-02-01 00:00:00,17.8458443
1981-03-01 00:00:00,84.8947067
1981-04-01 00:00:00,44.2921333
1981-05-01 00:00:00,136.209824
1981-06-01 00:00:00,28.6650791
1981-07-01 00:00:00,159.817886
1981-08-01 00:00:00,68.186821
1981-09-01 00:00:00,54.8040581
1981-10-01 00:00:00,59.3653526
1981-11-01 00:00:00,24.7466412
1981-12-01 00:00:00,66.4945755
1982-01-01 00:00:00,42.8085785
1982-02-01 00:00:00,25.0773506
1982-03-01 00:00:00,51.6943398
1982-04-01 00:00:00,49.4334145
1982-05-01 00:00:00,148.058014
1982-06-01 00:00:00,59.7090034
