Title:,"Time Series, Area-Averaged of Surface runoff monthly 0.1 deg. [FLDAS Model FLDAS_NOAH01_C_GL_M (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6762,40.2772,-105.6345,40.3008"
Data Bounding Box:,"-105.65,40.25,-105.65,40.25"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6762,40.2772,-105.6345,40.3008&data=FLDAS_NOAH01_C_GL_M_001_Qs_tavg%2CGLDAS_NOAH025_M_2_0_SWE_inst%2CGLDAS_NOAH025_M_2_1_SWE_inst%2CM2TMNXFLX_5_12_4_TLML(units%3DC)%2CM2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_Qsm%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CNLDAS_NOAH0125_M_2_0_Streamflow&portal=GIOVANNI&format=json"
Fill Value (mean_FLDAS_NOAH01_C_GL_M_001_Qs_tavg):, -9999

time, mean_FLDAS_NOAH01_C_GL_M_001_Qs_tavg
1990-01-01 00:00:00,3.53898508e-11
1990-02-01 00:00:00,2.88213287e-10
1990-03-01 00:00:00,8.52759552e-09
1990-04-01 00:00:00,3.31792421e-07
1990-05-01 00:00:00,3.96194366e-08
1990-06-01 00:00:00,1.23010375e-08
1990-07-01 00:00:00,5.68296684e-07
1990-08-01 00:00:00,1.72757254e-07
1990-09-01 00:00:00,7.83990046e-08
1990-10-01 00:00:00,2.14383515e-08
1990-11-01 00:00:00,8.12538758e-10
1990-12-01 00:00:00,1.06455914e-10
1991-01-01 00:00:00,0
1991-02-01 00:00:00,1.11205845e-09
1991-03-01 00:00:00,3.79658038e-09
1991-04-01 00:00:00,5.44464562e-08
1991-05-01 00:00:00,9.04900475e-08
1991-06-01 00:00:00,1.68363187e-07
1991-07-01 00:00:00,2.56966075e-07
1991-08-01 00:00:00,1.59776135e-07
1991-09-01 00:00:00,5.03995636e-08
1991-10-01 00:00:00,1.1590445e-08
1991-11-01 00:00:00,1.45046142e-09
1991-12-01 00:00:00,0
1992-01-01 00:00:00,2.06715445e-09
1992-02-01 00:00:00,1.65276348e-09
1992-03-01 00:00:00,2.17875264e-08
1992-04-01 00:00:00,2.22326832e-07
1992-05-01 00:00:00,6.86346411e-08
1992-06-01 00:00:00,6.39116706e-08
1992-07-01 00:00:00,4.46789159e-07
1992-08-01 00:00:00,2.66579661e-07
1992-09-01 00:00:00,8.96998174e-08
1992-10-01 00:00:00,2.09481357e-08
1992-11-01 00:00:00,0
1992-12-01 00:00:00,0
1993-01-01 00:00:00,2.83338179e-14
1993-02-01 00:00:00,4.88759207e-11
1993-03-01 00:00:00,9.91544766e-08
1993-04-01 00:00:00,1.29329905e-07
1993-05-01 00:00:00,3.20211257e-07
1993-06-01 00:00:00,6.46774723e-08
1993-07-01 00:00:00,4.93311596e-08
1993-08-01 00:00:00,2.34823247e-07
1993-09-01 00:00:00,2.21079446e-07
1993-10-01 00:00:00,8.26713134e-08
1993-11-01 00:00:00,7.87150276e-11
1993-12-01 00:00:00,2.93965685e-10
1994-01-01 00:00:00,1.57051802e-10
1994-02-01 00:00:00,0
1994-03-01 00:00:00,2.02924877e-08
1994-04-01 00:00:00,3.17028892e-08
1994-05-01 00:00:00,6.55440715e-08
1994-06-01 00:00:00,5.10279961e-08
1994-07-01 00:00:00,4.95712307e-08
1994-08-01 00:00:00,5.44313309e-07
1994-09-01 00:00:00,1.87411842e-07
1994-10-01 00:00:00,1.70746386e-08
1994-11-01 00:00:00,3.43647741e-08
1994-12-01 00:00:00,4.15367775e-11
1995-01-01 00:00:00,9.11099148e-12
1995-02-01 00:00:00,0
1995-03-01 00:00:00,6.24812486e-08
1995-04-01 00:00:00,1.99751486e-08
1995-05-01 00:00:00,7.88864895e-07
1995-06-01 00:00:00,1.13225849e-06
1995-07-01 00:00:00,4.46342682e-07
1995-08-01 00:00:00,1.48482954e-07
1995-09-01 00:00:00,7.55151461e-07
1995-10-01 00:00:00,1.9731214e-08
1995-11-01 00:00:00,2.45833718e-08
1995-12-01 00:00:00,2.73092021e-10
1996-01-01 00:00:00,0
1996-02-01 00:00:00,0
1996-03-01 00:00:00,5.151405e-11
1996-04-01 00:00:00,5.49183767e-07
1996-05-01 00:00:00,2.03065028e-07
1996-06-01 00:00:00,8.98913797e-08
1996-07-01 00:00:00,5.54020573e-07
1996-08-01 00:00:00,4.26913687e-07
1996-09-01 00:00:00,1.03630136e-07
1996-10-01 00:00:00,3.1415933e-08
1996-11-01 00:00:00,9.2305924e-10
1996-12-01 00:00:00,0
1997-01-01 00:00:00,1.1439908e-10
1997-02-01 00:00:00,0
1997-03-01 00:00:00,8.38118552e-08
1997-04-01 00:00:00,3.00495174e-07
1997-05-01 00:00:00,3.65499233e-07
1997-06-01 00:00:00,1.10862516e-07
1997-07-01 00:00:00,2.67429016e-07
1997-08-01 00:00:00,6.67833831e-07
1997-09-01 00:00:00,1.44546547e-07
1997-10-01 00:00:00,1.37928025e-08
1997-11-01 00:00:00,4.08916545e-09
1997-12-01 00:00:00,8.73129485e-11
1998-01-01 00:00:00,0
1998-02-01 00:00:00,0
1998-03-01 00:00:00,9.49496552e-08
1998-04-01 00:00:00,4.94021833e-07
1998-05-01 00:00:00,3.18375243e-07
1998-06-01 00:00:00,1.2956086e-07
1998-07-01 00:00:00,5.45525722e-07
1998-08-01 00:00:00,7.0550351e-07
1998-09-01 00:00:00,3.86207063e-07
1998-10-01 00:00:00,4.10364684e-08
1998-11-01 00:00:00,4.81824913e-10
1998-12-01 00:00:00,3.98727218e-10
1999-01-01 00:00:00,0
1999-02-01 00:00:00,4.64716703e-11
1999-03-01 00:00:00,3.66837298e-08
1999-04-01 00:00:00,2.71229766e-07
1999-05-01 00:00:00,4.07942707e-07
1999-06-01 00:00:00,8.10441421e-08
1999-07-01 00:00:00,7.11028804e-07
