Title:,"Time Series, Area-Averaged of Surface air temperature monthly 0.5 x 0.625 deg. [MERRA-2 Model (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6762,40.2772,-105.6345,40.3008"
Data Bounding Box:,"-105.625,40.5,-105.625,40.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6762,40.2772,-105.6345,40.3008&data=FLDAS_NOAH01_C_GL_M_001_Qs_tavg%2CGLDAS_NOAH025_M_2_0_SWE_inst%2CGLDAS_NOAH025_M_2_1_SWE_inst%2CM2TMNXFLX_5_12_4_TLML(units%3DC)%2CM2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_Qsm%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CNLDAS_NOAH0125_M_2_0_Streamflow&portal=GIOVANNI&format=json"
Fill Value (M2TMNXFLX_5_12_4_TLML):, 1000000000000000

time, M2TMNXFLX_5_12_4_TLML
1990-01-01 00:00:00,-6.89005136
1990-02-01 00:00:00,-6.49747324
1990-03-01 00:00:00,-2.75699472
1990-04-01 00:00:00,2.43718863
1990-05-01 00:00:00,5.72756338
1990-06-01 00:00:00,14.8798466
1990-07-01 00:00:00,14.7302494
1990-08-01 00:00:00,15.1162052
1990-09-01 00:00:00,12.5251102
1990-10-01 00:00:00,4.07109976
1990-11-01 00:00:00,-1.04471433
1990-12-01 00:00:00,-9.28143883
1991-01-01 00:00:00,-8.94568443
1991-02-01 00:00:00,-3.4904542
1991-03-01 00:00:00,-3.86987925
1991-04-01 00:00:00,0.401605219
1991-05-01 00:00:00,7.32235098
1991-06-01 00:00:00,12.9241886
1991-07-01 00:00:00,15.3138065
1991-08-01 00:00:00,14.9880314
1991-09-01 00:00:00,10.1917973
1991-10-01 00:00:00,4.75899649
1991-11-01 00:00:00,-4.91831064
1991-12-01 00:00:00,-5.60584116
1992-01-01 00:00:00,-6.59918833
1992-02-01 00:00:00,-3.84284067
1992-03-01 00:00:00,-1.50107419
1992-04-01 00:00:00,4.35466909
1992-05-01 00:00:00,8.20571327
1992-06-01 00:00:00,11.3885746
1992-07-01 00:00:00,14.2030582
1992-08-01 00:00:00,13.9814091
1992-09-01 00:00:00,11.3669071
1992-10-01 00:00:00,6.48034048
1992-11-01 00:00:00,-6.17682505
1992-12-01 00:00:00,-8.10928917
1993-01-01 00:00:00,-6.93536997
1993-02-01 00:00:00,-7.34384775
1993-03-01 00:00:00,-3.26279306
1993-04-01 00:00:00,-0.585577369
1993-05-01 00:00:00,6.53942251
1993-06-01 00:00:00,10.9088993
1993-07-01 00:00:00,14.791132
1993-08-01 00:00:00,13.9516239
1993-09-01 00:00:00,9.07427406
1993-10-01 00:00:00,3.30343008
1993-11-01 00:00:00,-5.42597055
1993-12-01 00:00:00,-6.87433481
1994-01-01 00:00:00,-6.77701426
1994-02-01 00:00:00,-7.00101328
1994-03-01 00:00:00,-1.55502927
1994-04-01 00:00:00,1.24953616
1994-05-01 00:00:00,9.14141273
1994-06-01 00:00:00,15.1891727
1994-07-01 00:00:00,16.2569523
1994-08-01 00:00:00,16.2073612
1994-09-01 00:00:00,11.9528141
1994-10-01 00:00:00,3.76818228
1994-11-01 00:00:00,-2.95529795
1994-12-01 00:00:00,-4.00919199
1995-01-01 00:00:00,-6.34332895
1995-02-01 00:00:00,-3.53339243
1995-03-01 00:00:00,-2.48667002
1995-04-01 00:00:00,-0.791143775
1995-05-01 00:00:00,2.94143057
1995-06-01 00:00:00,10.266016
1995-07-01 00:00:00,14.8454533
1995-08-01 00:00:00,17.2454166
1995-09-01 00:00:00,10.3564091
1995-10-01 00:00:00,3.49569082
1995-11-01 00:00:00,-0.551946998
1995-12-01 00:00:00,-4.80679941
1996-01-01 00:00:00,-8.60358238
1996-02-01 00:00:00,-5.93518686
1996-03-01 00:00:00,-4.79553843
1996-04-01 00:00:00,0.567895532
1996-05-01 00:00:00,7.61684561
1996-06-01 00:00:00,13.4512272
1996-07-01 00:00:00,16.545557
1996-08-01 00:00:00,15.5300846
1996-09-01 00:00:00,8.98043251
1996-10-01 00:00:00,4.22490835
1996-11-01 00:00:00,-1.66129148
1996-12-01 00:00:00,-7.17487192
1997-01-01 00:00:00,-7.89942026
1997-02-01 00:00:00,-7.85431528
1997-03-01 00:00:00,-2.17374277
1997-04-01 00:00:00,-1.95853269
1997-05-01 00:00:00,6.38500357
1997-06-01 00:00:00,13.2126408
1997-07-01 00:00:00,15.9543705
1997-08-01 00:00:00,14.5550785
1997-09-01 00:00:00,11.5924931
1997-10-01 00:00:00,4.22170401
1997-11-01 00:00:00,-3.64917612
1997-12-01 00:00:00,-6.62729502
1998-01-01 00:00:00,-5.8364625
1998-02-01 00:00:00,-6.30902719
1998-03-01 00:00:00,-4.42359018
1998-04-01 00:00:00,0.000939941383
1998-05-01 00:00:00,7.59591055
1998-06-01 00:00:00,10.0762272
1998-07-01 00:00:00,16.8931522
1998-08-01 00:00:00,15.7719059
1998-09-01 00:00:00,13.5887699
1998-10-01 00:00:00,4.27965689
1998-11-01 00:00:00,-0.912145972
1998-12-01 00:00:00,-5.39050913
1999-01-01 00:00:00,-5.86871958
1999-02-01 00:00:00,-5.09891367
1999-03-01 00:00:00,-0.695532203
1999-04-01 00:00:00,-0.977148414
1999-05-01 00:00:00,5.20748281
1999-06-01 00:00:00,11.415308
1999-07-01 00:00:00,16.2279606
1999-08-01 00:00:00,14.7578373
1999-09-01 00:00:00,9.02984047
1999-10-01 00:00:00,6.3147521
1999-11-01 00:00:00,3.51500845
1999-12-01 00:00:00,-5.24252939
2000-01-01 00:00:00,-6.09503794
2000-02-01 00:00:00,-3.80570078
2000-03-01 00:00:00,-3.07364511
2000-04-01 00:00:00,3.25591421
2000-05-01 00:00:00,9.11596107
2000-06-01 00:00:00,13.0637455
2000-07-01 00:00:00,17.7080021
