Title:,"Time Series, Area-Averaged of Surface air temperature monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6427,40.0431,-105.5982,40.0583"
Data Bounding Box:,"-105.625,40,-105.625,40"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6427,40.0431,-105.5982,40.0583&data=NLDAS_NOAH0125_M_2_0_SnowDepth%2CM2IMNXLFO_5_12_4_TLML(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (M2IMNXLFO_5_12_4_TLML):, 1000000000000000

time, M2IMNXLFO_5_12_4_TLML
1980-01-01 00:00:00,-7.09195566
1980-02-01 00:00:00,-5.30658579
1980-03-01 00:00:00,-5.1842103
1980-04-01 00:00:00,-0.353674322
1980-05-01 00:00:00,5.31945181
1980-06-01 00:00:00,14.9470463
1980-07-01 00:00:00,18.0716496
1980-08-01 00:00:00,15.6931705
1980-09-01 00:00:00,11.7749271
1980-10-01 00:00:00,4.61586905
1980-11-01 00:00:00,-0.779974341
1980-12-01 00:00:00,-0.669836402
1981-01-01 00:00:00,-2.64768076
1981-02-01 00:00:00,-4.40796518
1981-03-01 00:00:00,-2.74732065
1981-04-01 00:00:00,5.05288076
1981-05-01 00:00:00,5.5352416
1981-06-01 00:00:00,14.2790775
1981-07-01 00:00:00,16.4537907
1981-08-01 00:00:00,14.4432926
1981-09-01 00:00:00,11.9624577
1981-10-01 00:00:00,3.46798086
1981-11-01 00:00:00,0.320275873
1981-12-01 00:00:00,-5.44174814
1982-01-01 00:00:00,-8.60724449
1982-02-01 00:00:00,-7.82047129
1982-03-01 00:00:00,-3.19776011
1982-04-01 00:00:00,-0.0218261722
1982-05-01 00:00:00,5.35161734
1982-06-01 00:00:00,10.6577091
1982-07-01 00:00:00,15.9403629
