siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NB8344OW,"1983-08-16 16:00","1983-08-23 16:30",198308,4.560,16.100," ",.300," ",.035," ",.069," ",.068," ",.280," ",1.890," ",.140," ",1.360,904.800,13.210,13.210,"w ","            ",1984-09-11
CO98,NB8615OW,"1983-08-23 16:30","1983-08-30 16:30",198308,4.490,19.000," ",.450," ",.046," ",.052," ",.099," ",.360," ",1.830," ",.150," ",2.080,319.600,6.350,6.350,"w ","            ",1984-09-11
CO98,NB8580OW,"1983-08-30 16:30","1983-09-06 16:30",198309,4.750,10.000," ",.180," ",.022," ",.026," ",.055," ",.120," ",.890," ",.120," ",.890,1476.400,23.370,23.370,"w ","            ",1984-09-11
CO98,NB8665OW,"1983-09-06 16:30","1983-09-13 16:30",198309,4.720,13.600," ",.380," ",.046," ",.037," ",.137," ",.270," ",1.290," ",.180," ",1.520,236.200,3.560,3.560,"w ","            ",1984-09-11
CO98,NB8728OW,"1983-09-13 16:30","1983-09-20 16:30",198309,5.770,10.100," ",.780," ",.101," ",.056," ",.114," ",.370," ",1.480," ",.150," ",1.780,779.000,14.730,14.730,"w ","            ",1984-09-11
CO98,NB8923OW,"1983-09-20 16:30","1983-09-27 16:30",198309,5.500,4.600," ",.180," ",.030," ",.025," ",.067," ",.100," ",.590," ",.090," ",.560,389.200,5.080,5.080,"w ","            ",1986-09-25
CO98,NB9152OW,"1983-09-27 16:30","1983-10-04 16:30",198309,5.300,5.700," ",.260," ",.049," ",.040," ",.082,<,.020," ",.690," ",.130," ",.800,-9.000,14.730,14.730,"w ","            ",1984-10-18
CO98,NB9176OW,"1983-10-04 16:30","1983-10-11 17:00",198310,4.700,11.400," ",.130," ",.023," ",.014," ",.028," ",.130," ",.680," ",.090," ",1.060,1351.900,24.380,24.380,"w ","            ",1984-10-18
CO98,NB9477OW,"1983-10-11 17:00","1983-10-18 16:30",198310,5.170,6.300," ",.140," ",.024," ",.009," ",.075,<,.020," ",.410," ",.070," ",.790,301.400,25.400,25.400,"w ","            ",1984-10-18
CO98,NB9457OW,"1983-10-18 16:30","1983-10-25 17:00",198310,4.860,12.200," ",.100," ",.021," ",.008," ",.061," ",.110," ",.530," ",.090," ",1.380,494.700,-9.990,7.286,"w ","            ",1984-10-18
CO98,NB9631OW,"1983-10-25 17:00","1983-11-01 18:00",198310,4.370,34.800," ",.500," ",.137," ",.267," ",.420," ",.170," ",1.680," ",.450," ",4.610,72.500,-9.990,1.067,"w ","            ",1984-10-18
CO98,NB9728OW,"1983-11-01 18:00","1983-11-08 18:00",198311,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,963.500,-9.990,14.192,"  ","u           ",1984-10-18
CO98,NB9975OW,"1983-11-08 18:00","1983-11-15 18:00",198311,5.340,2.800," ",.090," ",.008," ",.007," ",.017," ",.030," ",.230," ",.060," ",.450,1197.200,52.070,52.070,"w ","            ",1984-10-18
CO98,NB9892OW,"1983-11-15 18:00","1983-11-22 20:00",198311,5.250,3.600," ",.060," ",.012," ",.041," ",.028," ",.030," ",.330," ",.080," ",.400,1013.800,41.400,41.400,"w ","            ",1984-10-18
