"","date","site_code","nitrate_mgL","discharge_Ls"
"1",1971-10-26,"GSWS06",0,0.937035272727273
"2",1971-11-15,"GSWS06",0,4.011575
"3",1971-11-16,"GSWS06",0.000125,3.936063
"4",1971-11-17,"GSWS06",0.00025,3.794478
"5",1971-11-18,"GSWS06",0.000375,3.652893
"6",1971-11-19,"GSWS06",5e-04,3.7142465
"7",1971-11-20,"GSWS06",0.000625,3.8369535
"8",1971-11-21,"GSWS06",0.00075,3.9219045
"9",1971-11-22,"GSWS06",0.000875,3.8369535
"10",1971-11-23,"GSWS06",0.001,4.66064505882353
"11",1971-11-24,"GSWS06",0.001125,6.06822822222222
"12",1971-11-25,"GSWS06",0.00125,14.884123125
"13",1971-11-26,"GSWS06",0.001375,66.2167302272727
"14",1971-11-27,"GSWS06",0.0015,52.9537664482759
"15",1971-11-28,"GSWS06",0.001625,50.8967295652174
"16",1971-11-29,"GSWS06",0.00175,47.1502673478261
"17",1971-11-30,"GSWS06",0.001875,32.6864362173913
"18",1971-12-01,"GSWS06",0.002,21.8507297647059
"19",1971-12-22,"GSWS06",0,5.1961695
"20",1972-01-18,"GSWS06",0,45.1246298684211
"21",1972-01-19,"GSWS06",0,69.9046250322581
"22",1972-01-20,"GSWS06",0,157.48952622
"23",1972-01-21,"GSWS06",0,114.3865215
"24",1972-01-22,"GSWS06",0,57.4571458965517
"25",1972-01-23,"GSWS06",0,39.5475222
"26",1972-01-24,"GSWS06",0,27.1314616
"27",1972-01-25,"GSWS06",0,19.25791975
"28",1972-01-26,"GSWS06",0,15.4271016
"29",1972-01-27,"GSWS06",0,13.526087
"30",1972-01-28,"GSWS06",0,11.732677
"31",1972-01-29,"GSWS06",0,10.1422055
"32",1972-01-30,"GSWS06",0,8.6989824
"33",1972-01-31,"GSWS06",0,7.3671395
"34",1972-02-01,"GSWS06",0,6.1400695
"35",1972-02-02,"GSWS06",0,4.6298295
"36",1972-02-03,"GSWS06",0,3.6387345
"37",1972-02-04,"GSWS06",0,3.4121985
"38",1972-02-05,"GSWS06",0,3.41927775
"39",1972-02-06,"GSWS06",0,3.936063
"40",1972-02-07,"GSWS06",0,4.2079062
"41",1972-02-08,"GSWS06",0,4.66421442857143
"42",1972-02-09,"GSWS06",0,5.550132
"43",1972-02-10,"GSWS06",0,6.173106
"44",1972-02-11,"GSWS06",0,7.66058135294118
"45",1972-02-12,"GSWS06",0,16.8501053684211
"46",1972-02-13,"GSWS06",0,35.33253675
