"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","mar",1982-07-06,923,NaN,NaN
"NWT","mar",1982-07-07,1011,NaN,NaN
"NWT","mar",1982-07-08,1073,NaN,NaN
"NWT","mar",1982-07-09,1062,NaN,NaN
"NWT","mar",1982-07-10,1115,NaN,NaN
"NWT","mar",1982-07-11,976,NaN,NaN
"NWT","mar",1982-07-12,1063,NaN,NaN
"NWT","mar",1982-07-13,1001,NaN,NaN
"NWT","mar",1982-07-14,999,NaN,NaN
"NWT","mar",1982-07-15,891,NaN,NaN
"NWT","mar",1982-07-16,993,NaN,NaN
"NWT","mar",1982-07-17,1100,NaN,NaN
"NWT","mar",1982-07-18,982,NaN,NaN
"NWT","mar",1982-07-19,995,NaN,NaN
"NWT","mar",1982-07-20,876,NaN,NaN
"NWT","mar",1982-07-21,800,NaN,NaN
"NWT","mar",1982-07-22,784,NaN,NaN
"NWT","mar",1982-07-23,898,NaN,NaN
"NWT","mar",1982-07-24,1082,NaN,NaN
"NWT","mar",1982-07-25,984,NaN,NaN
"NWT","mar",1982-07-26,864,NaN,NaN
"NWT","mar",1982-07-27,787,NaN,NaN
"NWT","mar",1982-07-28,894,NaN,NaN
"NWT","mar",1982-07-29,904,NaN,NaN
"NWT","mar",1982-07-30,863,NaN,NaN
"NWT","mar",1982-07-31,846,NaN,NaN
"NWT","mar",1982-08-01,787,NaN,NaN
"NWT","mar",1982-08-02,790,NaN,NaN
"NWT","mar",1982-08-03,869,NaN,NaN
"NWT","mar",1982-08-04,726,NaN,NaN
"NWT","mar",1982-08-05,723,NaN,NaN
"NWT","mar",1982-08-06,672,NaN,NaN
"NWT","mar",1982-08-07,694,NaN,NaN
"NWT","mar",1982-08-08,668,NaN,NaN
"NWT","mar",1982-08-09,712,NaN,NaN
"NWT","mar",1982-08-10,685,NaN,NaN
"NWT","mar",1982-08-11,689,NaN,NaN
"NWT","mar",1982-08-12,730,NaN,NaN
"NWT","mar",1982-08-13,747,NaN,NaN
"NWT","mar",1982-08-14,760,NaN,NaN
"NWT","mar",1982-08-15,661,NaN,NaN
"NWT","mar",1982-08-16,589,NaN,NaN
"NWT","mar",1982-08-17,567,NaN,NaN
"NWT","mar",1982-08-18,557,NaN,NaN
"NWT","mar",1982-08-19,504,NaN,NaN
"NWT","mar",1982-08-20,472,NaN,NaN
"NWT","mar",1982-08-21,448,NaN,NaN
"NWT","mar",1982-08-22,431,NaN,NaN
"NWT","mar",1982-08-23,434,NaN,NaN
"NWT","mar",1982-08-24,400,NaN,NaN
"NWT","mar",1982-08-25,388,NaN,NaN
"NWT","mar",1982-08-26,359,NaN,NaN
"NWT","mar",1982-08-27,351,NaN,NaN
"NWT","mar",1982-08-28,338,NaN,NaN
"NWT","mar",1982-08-29,327,NaN,NaN
"NWT","mar",1982-08-30,320,NaN,NaN
"NWT","mar",1982-08-31,322,NaN,NaN
"NWT","mar",1982-09-01,319,NaN,NaN
"NWT","mar",1982-09-02,315,NaN,NaN
"NWT","mar",1982-09-03,299,NaN,NaN
"NWT","mar",1982-09-04,284,NaN,NaN
"NWT","mar",1982-09-05,280,NaN,NaN
"NWT","mar",1982-09-06,247,NaN,NaN
"NWT","mar",1982-09-07,229,NaN,NaN
"NWT","mar",1982-09-08,209,NaN,NaN
"NWT","mar",1982-09-09,193,NaN,NaN
"NWT","mar",1982-09-10,187,NaN,NaN
"NWT","mar",1982-09-11,186,NaN,NaN
"NWT","mar",1982-09-12,186,NaN,NaN
"NWT","mar",1982-09-13,175,NaN,NaN
"NWT","mar",1982-09-14,170,NaN,NaN
"NWT","mar",1982-09-15,153,NaN,NaN
"NWT","mar",1982-09-16,123,NaN,NaN
"NWT","mar",1982-09-17,NaN,NaN,NaN
"NWT","mar",1982-09-18,NaN,NaN,NaN
"NWT","mar",1982-09-19,NaN,NaN,NaN
"NWT","mar",1982-09-20,NaN,NaN,NaN
"NWT","mar",1982-09-21,NaN,NaN,NaN
"NWT","mar",1982-09-22,NaN,NaN,NaN
"NWT","mar",1982-09-23,NaN,NaN,NaN
"NWT","mar",1982-09-24,NaN,NaN,NaN
"NWT","mar",1982-09-25,NaN,NaN,NaN
"NWT","mar",1982-09-26,NaN,NaN,NaN
"NWT","mar",1982-09-27,NaN,NaN,NaN
"NWT","mar",1982-09-28,NaN,NaN,NaN
"NWT","mar",1982-09-29,NaN,NaN,NaN
"NWT","mar",1982-09-30,NaN,NaN,NaN
"NWT","mar",1982-10-01,NaN,NaN,NaN
"NWT","mar",1982-10-02,NaN,NaN,NaN
"NWT","mar",1982-10-03,NaN,NaN,NaN
"NWT","mar",1982-10-04,NaN,NaN,NaN
"NWT","mar",1982-10-05,NaN,NaN,NaN
"NWT","mar",1982-10-06,NaN,NaN,NaN
"NWT","mar",1982-10-07,NaN,NaN,NaN
"NWT","mar",1982-10-08,NaN,NaN,NaN
"NWT","mar",1982-10-09,NaN,NaN,NaN
"NWT","mar",1982-10-10,NaN,NaN,NaN
"NWT","mar",1982-10-11,NaN,NaN,NaN
"NWT","mar",1982-10-12,NaN,NaN,NaN
"NWT","mar",1982-10-13,NaN,NaN,NaN
"NWT","mar",1982-10-14,NaN,NaN,NaN
"NWT","mar",1982-10-15,NaN,NaN,NaN
"NWT","mar",1982-10-16,NaN,NaN,NaN
"NWT","mar",1982-10-17,NaN,NaN,NaN
"NWT","mar",1982-10-18,NaN,NaN,NaN
"NWT","mar",1982-10-19,NaN,NaN,NaN
"NWT","mar",1982-10-20,NaN,NaN,NaN
"NWT","mar",1982-10-21,NaN,NaN,NaN
"NWT","mar",1982-10-22,NaN,NaN,NaN
"NWT","mar",1982-10-23,NaN,NaN,NaN
"NWT","mar",1982-10-24,NaN,NaN,NaN
"NWT","mar",1982-10-25,NaN,NaN,NaN
"NWT","mar",1982-10-26,NaN,NaN,NaN
"NWT","mar",1982-10-27,NaN,NaN,NaN
"NWT","mar",1982-10-28,NaN,NaN,NaN
"NWT","mar",1982-10-29,NaN,NaN,NaN
