"","site_no","Date","Nitrate_mgl","Discharge_cms","discharge_rate"
"1","401723105400000",1992-04-15,0.365,0.16,0.16
"2","401723105400000",1992-04-16,0.38,0.16,0.16
"3","401723105400000",1992-04-17,0.38,0.16,0.16
"4","401723105400000",1992-04-22,0.34,0.25,0.25
"5","401723105400000",1992-04-23,0.375,0.25,0.25
"6","401723105400000",1992-04-25,0.37,0.34,0.34
"7","401723105400000",1992-04-26,0.36,0.38,0.38
"8","401723105400000",1992-04-27,0.36,0.44,0.44
"9","401723105400000",1992-04-28,0.47,0.62,0.62
"10","401723105400000",1992-04-29,0.47,0.73,0.73
"11","401723105400000",1992-04-30,0.47,0.58,0.58
"12","401723105400000",1992-05-01,0.44,0.53,0.53
"13","401723105400000",1992-05-02,0.44,0.43,0.43
"14","401723105400000",1992-05-03,0.45,0.62,0.62
"15","401723105400000",1992-05-04,0.47,0.8,0.8
"16","401723105400000",1992-05-05,0.47,1.44,1.44
"17","401723105400000",1992-05-06,0.48,1.59,1.59
"18","401723105400000",1992-05-07,0.5,1.62,1.62
"19","401723105400000",1992-05-08,0.48,2.11,2.11
"20","401723105400000",1992-05-09,0.52,1.83,1.83
"21","401723105400000",1992-05-10,0.53,0.94,0.94
"22","401723105400000",1992-05-11,0.52,0.79,0.79
"23","401723105400000",1992-05-12,0.49,0.69,0.69
"24","401723105400000",1992-05-13,0.49,0.78,0.78
"25","401723105400000",1992-05-14,0.51,1.22,1.22
"26","401723105400000",1992-05-15,0.49,1.5,1.5
"27","401723105400000",1992-05-16,0.51,1.92,1.92
"28","401723105400000",1992-05-17,0.5,2.66,2.66
"29","401723105400000",1992-05-18,0.51,3.32,3.32
"30","401723105400000",1992-05-19,0.54,4.51,4.51
"31","401723105400000",1992-05-20,0.51,5.4,5.4
"32","401723105400000",1992-05-21,0.55,4.34,4.34
"33","401723105400000",1992-05-22,0.54,4.12,4.12
"34","401723105400000",1992-05-23,0.52,4.47,4.47
"35","401723105400000",1992-05-24,0.5,4.29,4.29
"36","401723105400000",1992-05-25,0.5,4.24,4.24
"37","401723105400000",1992-05-26,0.49,4.89,4.89
"38","401723105400000",1992-05-27,0.47,3.7,3.7
"39","401723105400000",1992-05-28,0.48,2.79,2.79
"40","401723105400000",1992-05-29,0.49,2.47,2.47
"41","401723105400000",1992-05-30,0.49,2.25,2.25
"42","401723105400000",1992-05-31,0.47,1.88,1.88
"43","401723105400000",1992-06-01,0.49,2.04,2.04
"44","401723105400000",1992-06-02,0.49,3.27,3.27
"45","401723105400000",1992-06-03,0.48,4.16,4.16
"46","401723105400000",1992-06-04,0.46,4.08,4.08
"47","401723105400000",1992-06-05,0.46,3.97,3.97
"48","401723105400000",1992-06-06,0.44,3.94,3.94
"49","401723105400000",1992-06-07,0.44,3.89,3.89
"50","401723105400000",1992-06-08,0.43,3.75,3.75
"51","401723105400000",1992-06-09,0.44,3.71,3.71
"52","401723105400000",1992-06-10,0.38,5.25,5.25
"53","401723105400000",1992-06-11,0.41,6.78,6.78
"54","401723105400000",1992-06-12,0.36,6.73,6.73
"55","401723105400000",1992-06-13,0.38,6.69,6.69
"56","401723105400000",1992-06-14,0.36,6.18,6.18
"57","401723105400000",1992-06-15,0.37,4.2,4.2
"58","401723105400000",1992-06-16,0.37,3.04,3.04
"59","401723105400000",1992-06-17,0.39,3.18,3.18
"60","401723105400000",1992-06-18,0.38,4.62,4.62
"61","401723105400000",1992-06-19,0.35,6.99,6.99
"62","401723105400000",1992-06-20,0.33,7.33,7.33
"63","401723105400000",1992-06-21,0.34,6.96,6.96
"64","401723105400000",1992-06-22,0.35,7.31,7.31
"65","401723105400000",1992-06-23,0.34,7.41,7.41
"66","401723105400000",1992-06-25,0.3,8.17,8.17
"67","401723105400000",1992-06-28,0.3,6.88,6.88
"68","401723105400000",1992-06-30,0.276,6.43,6.43
"69","401723105400000",1992-07-01,0.28,4.99,4.99
"70","401723105400000",1992-07-02,0.32,3.64,3.64
"71","401723105400000",1992-07-04,0.28,4.87,4.87
"72","401723105400000",1992-07-06,0.24,6.91,6.91
"73","401723105400000",1992-07-08,0.25,6.95,6.95
"74","401723105400000",1992-07-10,0.25,5.3,5.3
"75","401723105400000",1992-07-12,0.25,4.81,4.81
"76","401723105400000",1992-07-14,0.24,4.09,4.09
"77","401723105400000",1992-07-16,0.24,3.86,3.86
"78","401723105400000",1992-07-18,0.22,3.69,3.69
"79","401723105400000",1992-07-20,0.24,4.53,4.53
"80","401723105400000",1992-07-22,0.24,3.81,3.81
"81","401723105400000",1992-07-23,0.23,4.06,4.06
"82","401723105400000",1992-07-26,0.22,3.8,3.8
"83","401723105400000",1992-07-29,0.22,3.43,3.43
"84","401723105400000",1992-07-31,0.22,3.15,3.15
"85","401723105400000",1992-08-03,0.23,3.17,3.17
"86","401723105400000",1992-08-06,0.22,3.48,3.48
"87","401723105400000",1992-08-07,0.22,3.49,3.49
"88","401723105400000",1992-08-10,0.21,3.29,3.29
